2020
7.5 , 0, 666
9.25 , 0, 1165
1.25 , 0, 536
9.75 , 0, 1078
3.25 , 0, 1875
11.75 , 0, 1909
32.75 , 0, 0
7.5 , 1, 1004
2 , 1, 477
6 , 1, 1620
5.5 , 1, 193
1.25 , 1, 674
2.75 , 1, 756
1.5 , 1, 104
6.25 , 1, 102
4.75 , 1, 681
27.5 , 1, 1
8 , 2, 444
7.25 , 2, 159
8.25 , 2, 467
9 , 2, 1905
4.5 , 2, 617
7 , 2, 1819
6.75 , 2, 637
10.25 , 2, 356
51 , 2, 2
11.25 , 3, 1920
0.25 , 3, 713
8 , 3, 116
7.5 , 3, 735
1.75 , 3, 984
18.75 , 3, 3
6 , 4, 639
10 , 4, 276
10.25 , 4, 1331
7.25 , 4, 130
6 , 4, 852
10.25 , 4, 69
9.25 , 4, 1190
9.75 , 4, 753
0.75 , 4, 903
59.5 , 4, 4
7.75 , 5, 1663
1.25 , 5, 1956
-1 , 5, 5
7.25 , 6, 1695
9.75 , 6, 148
12 , 6, 883
9.75 , 6, 1235
28.75 , 6, 6
5.25 , 7, 1713
-4.75 , 7, 7
6.5 , 8, 1582
9.5 , 8, 588
7.75 , 8, 159
7 , 8, 1791
5.75 , 8, 683
8.5 , 8, 103
12.25 , 8, 682
1.75 , 8, 302
49 , 8, 8
10.25 , 9, 587
11.5 , 9, 1751
9.25 , 9, 233
21 , 9, 9
4 , 10, 1390
3 , 10, 855
6.5 , 10, 1230
6.75 , 10, 1282
2.5 , 10, 929
1.25 , 10, 1754
3.25 , 10, 522
11.25 , 10, 346
2.5 , 10, 1998
31 , 10, 10
9.5 , 11, 1751
11.25 , 11, 1387
6.25 , 11, 607
17 , 11, 11
9.75 , 12, 442
3.25 , 12, 1347
0.5 , 12, 1337
12.25 , 12, 783
6.5 , 12, 903
12 , 12, 851
5 , 12, 556
2 , 12, 1727
41.25 , 12, 12
1.5 , 13, 1325
7.75 , 13, 1682
4.75 , 13, 1915
1.5 , 13, 1471
11.25 , 13, 1984
10.25 , 13, 543
9.5 , 13, 735
36.5 , 13, 13
4.75 , 14, 212
10.25 , 14, 1103
8.25 , 14, 1775
10.5 , 14, 1349
1 , 14, 1978
8.75 , 14, 237
8.25 , 14, 893
10 , 14, 3
51.75 , 14, 14
8.25 , 15, 622
5.25 , 15, 1431
10 , 15, 38
10.25 , 15, 1038
11.75 , 15, 332
2 , 15, 479
37.5 , 15, 15
0.5 , 16, 363
10 , 16, 1922
4.5 , 16, 382
11.25 , 16, 75
2 , 16, 241
10.5 , 16, 1994
12.25 , 16, 968
7 , 16, 2
48 , 16, 16
1.75 , 17, 1721
11.75 , 17, 1409
11.25 , 17, 340
3.25 , 17, 824
2.5 , 17, 1881
8.75 , 17, 1893
1 , 17, 1382
0.75 , 17, 1842
4.75 , 17, 1114
35.75 , 17, 17
7.25 , 18, 1252
6 , 18, 969
7.5 , 18, 224
11 , 18, 929
21.75 , 18, 18
4.5 , 19, 1845
-5.5 , 19, 19
3.25 , 20, 1372
-6.75 , 20, 20
5.75 , 21, 290
7.75 , 21, 687
2.75 , 21, 1829
12 , 21, 398
0.75 , 21, 1092
7.25 , 21, 1793
10.75 , 21, 382
37 , 21, 21
9.5 , 22, 1563
8.5 , 22, 1770
5.5 , 22, 1180
2.75 , 22, 1412
0.25 , 22, 300
6.75 , 22, 1356
23.25 , 22, 22
6.5 , 23, 998
-3.5 , 23, 23
5 , 24, 475
12 , 24, 538
7.25 , 24, 1335
1.75 , 24, 863
3 , 24, 722
19 , 24, 24
3 , 25, 1240
5 , 25, 842
5.75 , 25, 1601
9 , 25, 608
4.25 , 25, 1417
10.5 , 25, 1578
4.25 , 25, 1649
3.75 , 25, 289
35.5 , 25, 25
8 , 26, 1379
7.75 , 26, 2003
7.5 , 26, 908
7.75 , 26, 449
0.5 , 26, 450
5.5 , 26, 1684
1.75 , 26, 175
28.75 , 26, 26
7 , 27, 1401
10 , 27, 350
6.75 , 27, 771
9 , 27, 399
10.75 , 27, 680
8.25 , 27, 777
41.75 , 27, 27
10.75 , 28, 410
6 , 28, 873
8 , 28, 1903
2.75 , 28, 210
3 , 28, 87
11.75 , 28, 851
5.75 , 28, 810
4.25 , 28, 580
0.75 , 28, 1526
43 , 28, 28
8.25 , 29, 1441
2.25 , 29, 65
9 , 29, 331
3.75 , 29, 1421
10 , 29, 1049
11.75 , 29, 1023
35 , 29, 29
2 , 30, 341
6.25 , 30, 281
9.25 , 30, 1251
7.5 , 30, 30
9.25 , 31, 1739
-0.75 , 31, 31
1 , 32, 739
9.5 , 32, 600
7.5 , 32, 441
8 , 32, 32
4.5 , 33, 205
-5.5 , 33, 33
10 , 34, 648
2.25 , 34, 1522
12 , 34, 1740
12 , 34, 815
7.75 , 34, 314
4.25 , 34, 313
11.5 , 34, 981
49.75 , 34, 34
11.5 , 35, 438
5 , 35, 338
6.5 , 35, 1355
4.25 , 35, 211
2.5 , 35, 1712
19.75 , 35, 35
2 , 36, 1293
1.25 , 36, 785
6.5 , 36, 381
8.5 , 36, 639
10.75 , 36, 248
5.75 , 36, 612
10.75 , 36, 813
9.25 , 36, 943
10 , 36, 1951
54.75 , 36, 36
11 , 37, 428
6.75 , 37, 1438
7.75 , 37, 37
9.75 , 38, 1108
7.25 , 38, 1547
12.25 , 38, 631
4.75 , 38, 575
12 , 38, 1209
9 , 38, 359
5.75 , 38, 1443
7.75 , 38, 1994
58.5 , 38, 38
2.75 , 39, 394
8.75 , 39, 1747
4 , 39, 1293
1 , 39, 1586
6.5 , 39, 39
0.75 , 40, 8
5.75 , 40, 504
10.5 , 40, 447
7 , 40, 40
12 , 41, 149
7.5 , 41, 511
3.5 , 41, 1950
6.75 , 41, 1523
1 , 41, 499
6 , 41, 1135
1.5 , 41, 1118
28.25 , 41, 41
9.75 , 42, 1778
2.25 , 42, 1729
11.75 , 42, 40
13.75 , 42, 42
4.5 , 43, 1284
6.25 , 43, 26
9.75 , 43, 483
4 , 43, 152
14.5 , 43, 43
10 , 44, 450
6.5 , 44, 1155
10.25 , 44, 1706
0.25 , 44, 909
9.25 , 44, 1903
8.75 , 44, 1170
9 , 44, 715
44 , 44, 44
7.75 , 45, 1868
0.5 , 45, 37
3 , 45, 164
1.25 , 45, 45
3.75 , 46, 1852
8 , 46, 585
7 , 46, 586
9.75 , 46, 418
18.5 , 46, 46
8.25 , 47, 685
3.75 , 47, 960
11.25 , 47, 578
5.25 , 47, 1735
5 , 47, 807
5.75 , 47, 894
0.25 , 47, 455
9 , 47, 174
38.5 , 47, 47
0.25 , 48, 717
2.5 , 48, 1934
10 , 48, 156
2.75 , 48, 48
5.25 , 49, 1780
8.75 , 49, 1845
4 , 49, 49
8 , 50, 1825
4.5 , 50, 1453
3 , 50, 917
12 , 50, 1102
4.25 , 50, 612
9.75 , 50, 1787
31.5 , 50, 50
11.5 , 51, 923
7.75 , 51, 1895
9.75 , 51, 1618
7.25 , 51, 625
11 , 51, 1039
11.25 , 51, 132
48.5 , 51, 51
6.25 , 52, 1662
5.5 , 52, 1653
1.75 , 52, 52
7.5 , 53, 1138
11.75 , 53, 1522
2 , 53, 1023
6.75 , 53, 65
8.5 , 53, 1401
7 , 53, 202
4.75 , 53, 536
38.25 , 53, 53
7 , 54, 1779
9.5 , 54, 541
6.5 , 54, 563
6.75 , 54, 1375
19.75 , 54, 54
6 , 55, 1741
2.75 , 55, 582
0.5 , 55, 268
11.25 , 55, 684
4 , 55, 997
1.75 , 55, 1873
8.5 , 55, 924
2.25 , 55, 821
27 , 55, 55
2 , 56, 403
4.5 , 56, 577
4.75 , 56, 1577
1.25 , 56, 56
10.25 , 57, 811
3.5 , 57, 1623
3.75 , 57, 2012
7.25 , 57, 841
14.75 , 57, 57
3.75 , 58, 1455
9 , 58, 817
2.25 , 58, 700
0.5 , 58, 1053
10.25 , 58, 1729
12 , 58, 1187
12 , 58, 64
6 , 58, 154
45.75 , 58, 58
8.25 , 59, 665
9.5 , 59, 50
3 , 59, 309
8.5 , 59, 1809
7 , 59, 863
26.25 , 59, 59
8.75 , 60, 1120
6 , 60, 53
1.25 , 60, 1332
3.75 , 60, 1727
1.75 , 60, 577
11.5 , 60, 60
8.5 , 61, 704
10 , 61, 1754
10.25 , 61, 621
18.75 , 61, 61
